PARAMETER_ID,PARAMETER_NAME,PROPERTY_ID,PROPERTY_NAME,QUDT_EQUIV,OBJECT,CONTEXT,DOMAIN,UNIT,QUDT_UNIT,UNIT_NAME
AIR_DENSITY,Air density,density,Density,Density,air,,atmosphere,KGM-3,KiloGM-PER-M3,kgm-3
ALBEDO,Albedo,reflectance,Reflectance,Reflectance,ground,,lithosphere,PCT,PERCENT,%
BUCKET_LEVEL,Level of rain gauge bucket,depth,Depth,Depth,water,rain gauge bucket,atmosphere,MM,MilliM,mm
COND,Soil conductivity,conductivity,Conductivity,Conductivity,soil,,lithosphere,PCT,PERCENT,%
CTS,Neutron counts,count,Count,Count,neutron,,,CTS,UNITLESS,
DIAG_CRNS,Diagnostic flag for CRNS tube,diagnostic,Diagnostic,,sensor,,,UNITLESS,UNITLESS,
DIAG_PRECIP,Diagnostic flag for precipitation gauge,diagnostic,Diagnostic,,sensor,,,UNITLESS,UNITLESS,
EFF_DEPTH,Effective Depth,effective depth,Effective Depth,,soil,,lithosphere,MM,MilliM,mm
FACTOR_INTEN,COSMOS intensity factor,intensity factor,Intensity Factor,,neutron,cosmos,atmosphere,UNITLESS,UNITLESS,
FACTOR_PA,COSMOS pressure factor,pressure factor,Pressure Factor,,air,cosmos,atmosphere,UNITLESS,UNITLESS,
FACTOR_Q,COSMOS water vapour factor,water vapour factor,Water Vapour Factor,,air,cosmos,atmosphere,UNITLESS,UNITLESS,
FLUX_MOM,Momentum flux,momentum flux,Momentum Flux,,air,,atmosphere,KGM-1S-2,KiloGM-PER-M-SEC2,kgm-1s-2
FRICTIONV,Friction velocity,friction velocity,Friction Velocity,,air,,atmosphere,MS-1,M-PER-S,ms-1
HEATFLUX_SENSIBLE,Sensible heat flux,heat flux density,Heat Flux Density,,air,,atmosphere,WM-2,W-PER-M2,Wm-2
HEATFLUX_SOIL,Soil heat flux,heat flux density,Heat Flux Density,,soil,,lithosphere,WM-2,W-PER-M2,Wm-2
IMAGE_COLOUR_AMOUNT_R,Amount of red in an image,image colour amount,Image Colour Amount,,red,,,UNITLESS,UNITLESS,
IMAGE_COLOUR_PROPORTION_R,Proportion of red in an image,image colour proportion,Image Colour Proportion,,red,,,PCT,PERCENT,%
IMAGE_COLOUR_AMOUNT_G,Amount of green in an image,image colour amount,Image Colour Amount,,green,,,UNITLESS,UNITLESS,
IMAGE_COLOUR_PROPORTION_G,Proportion of green in an image,image colour proportion,Image Colour Proportion,,green,,,PCT,PERCENT,%
IMAGE_COLOUR_AMOUNT_B,Amount of blue in an image,image colour amount,Image Colour Amount,,blue,,,UNITLESS,UNITLESS,
IMAGE_COLOUR_PROPORTION_B,Proportion of blue in an image,image colour proportion,Image Colour Proportion,,blue,,,PCT,PERCENT,%
LWIN,Incoming longwave radiation (corrected),energy density,Energy Density,EnergyDensity,incoming longwave radiation,corrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWIN_UNC,Incoming longwave radiation (uncorrected),energy density,Energy Density,EnergyDensity,incoming longwave radiation,uncorrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWOUT,Outgoing longwave radiation (corrected),energy density,Energy Density,EnergyDensity,outgoing longwave radiation,corrected,atmosphere,WM-2,W-PER-M2,Wm-2
LWOUT_UNC,Outgoing longwave radiation (uncorrected),energy density,Energy Density,EnergyDensity,outgoing longwave radiation,uncorrected,atmosphere,WM-2,W-PER-M2,Wm-2
PA,Atmospheric pressure,atmospheric pressure,Atmospheric Pressure,AtmosphericPressure,air,,atmosphere,HPA,HectoPA,hPa
PE,Potential Evaporation,potential evaporation,Potential Evaporation,,soil,,lithosphere,,,
PERM,Electrical permittivity,electrical permittivity,Electrical Permittivity,Permittivity,soil,,lithosphere,UNITLESS,UNITLESS,
PRECIPITATION,Precipitation,precipitation,Precipitation,,air,,atmosphere,MM,MilliM,mm
PRECIPITATION_INTEN,Precipitation intensity,precipitation intensity,Precipitation Intensity,,air,,atmosphere,,,
Q,Absolute humidity,q,Absolute Humidity,AbsoluteHumidity,air,,atmosphere,GM-3,GM-PER-M3,g/m3
RH,Relative humidity,rh,Relative Humidity,RelativeHumidity,air,,atmosphere,PCT,PERCENT,%
RN,Net radiation,energy density,Energy Density,EnergyDensity,net radiation,,atmosphere,WM-2,W-PER-M2,Wm-2
SCANS_LOGGER,Number of samples within interval,count,Count,Count,samples,logger,,UNITLESS,UNITLESS,
SCANS_METPAK,Number of MetPak samples within interval,count,Count,Count,samples,metpak,,UNITLESS,UNITLESS,
SMI,Soil moisture index,moisture index,Moisture Index,,soil,,lithosphere,,,
SNOW_DAY,Snow day,presence flag,Presence Flag,,snow,,cryosphere,UNITLESS,UNITLESS,
SNOWD_DISTANCE_COR,Distance between sensor and snow surface (corrected),distance,Distance,Distance,snow surface,corrected,cryosphere,M,M,m
SNOWD_DISTANCE_UNC,Distance between sensor and snow surface (uncorrected),distance,Distance,Distance,snow surface,uncorrected,cryosphere,M,Mm,
SNOWD_SIGNALQUALITY,Quality number,diagnostic,Diagnostic,,signal,,,UNITLESS,UNITLESS,
STATUS_P_HEATING,Status of Pluvio orifice rim heating element,diagnostic,Diagnostic,,sensor,,,UNITLESS,UNITLESS,
STATUS_PLUVIO,Status of Pluvio rain gauge,diagnostic,Diagnostic,,sensor,,,UNITLESS,UNITLESS,
SWE,Snow water equivalent,snow water equivalent,Snow Water Equivalent,,snow,,cryosphere,,,
SWIN,Incoming shortwave radiation,energy density,Energy Density,EnergyDensity,incoming shortwave radiation,,atmosphere,WM-2,W-PER-M2,Wm-2
SWOUT,Outgoing shortwave radiation,energy density,Energy Density,EnergyDensity,outgoing shortwave radiation,,atmosphere,WM-2,W-PER-M2,Wm-2
TEMP_AIR,Air temperature,temperature,Temperature,Temperature,air,,atmosphere,DEGC,DEG_C,degrees celsius
TEMP_CRNS,Temperature in CRNS tube,temperature,Temperature,Temperature,air,crns tube,diagnostic,DEGC,DEG_C,degrees celsius
TEMP_LOADCELL,Temperature of Pluvio load cell,temperature,Temperature,Temperature,load cell,sensor,diagnostic,DEGC,DEG_C,degrees celsius
TEMP_RADIOMETER,Radiometer body temperature,temperature,Temperature,Temperature,sensor,,diagnostic,DEGC,DEG_C,degrees celsius
TEMP_SOIL,Soil temperature,temperature,Temperature,Temperature,soil,,lithosphere,DEGC,DEG_C,degrees celsius
TEMP_SONIC,Sonic temperature,temperature,Temperature,Temperature,air,sonic temperature,atmosphere,DEGC,DEG_C,degrees celsius
VAPOUR_P,Vapour pressure,vapour pressure,Vapour Pressure,VaporPressure,air,,atmosphere,HPA,HectoPA,hPa
VOLTAGE,Battery voltage,voltage,Voltage,Voltage,battery,sensor,diagnostic,V,V,volt
VWC_CNRS,Volumetric water content from CRNS tube,vwc,Volumetric Water Content,,air,crns tube,diagnostic,PCT,PERCENT,%
VWC_SOIL,Soil volumetric water content,vwc,Volumetric Water Content,,soil,,lithosphere,PCT,PERCENT,%
WD,Wind direction,wd,Wind Direction,,air,,atmosphere,DEG,,degrees
WETNESS_INDEX,Wetness index,wi,Wetness Index,,soil,,lithosphere,UNITLESS,UNITLESS,
WS,Wind speed,ws,Wind Speed,,air,,atmosphere,MS-1,M-PER-S,ms-1
